Datum,CoV-Infektionen pro Woche,Cases,Intensiv-CoV-Patienten,Beatmete CoV-Patienten,Todesfälle mit CoV pro Woche,Personen mit Erstimpfung,Personen mit Vollschutz,Personen mit Auffrischung,Verhältnis Intensivpatienten/Infektionen (mit deltaT),Verhältnis beatmete Patienten/Infektionen (mit deltaT),Verhältnis Todesfälle/Infektionen (mit deltaT)
2020-05-17,4758,175119,1136.0,773.0,164,,,,0.15973097940311054,0.0937368642286675,0.011769651113913409
2020-05-18,4615,175661,1134.0,741.0,161,,,,0.15882990249187431,0.09209100758396534,0.010617551462621885
2020-05-19,4489,176389,1096.0,704.0,156,,,,0.16351080418801514,0.09445310759634662,0.010692804633548674
2020-05-20,4409,177218,1029.0,659.0,152,,,,0.1639827625311862,0.09231118167384894,0.010433204808346563
2020-05-21,4020,177637,1008.0,633.0,139,,,,0.17537313432835822,0.09825870646766169,0.010696517412935324
2020-05-22,3818,178162,984.0,612.0,124,,,,0.18438973284442117,0.10083813514929282,0.011524358302776323
2020-05-23,3696,178499,941.0,594.0,115,,,,0.1891233766233766,0.09821428571428571,0.012175324675324676
2020-05-24,3598,178717,910.0,577.0,112,,,,0.17787659811006115,0.09505280711506392,0.011951083935519732
2020-05-25,3468,179129,896.0,569.0,102,,,,0.17474048442906576,0.09775086505190311,0.010380622837370242
2020-05-26,3357,179746,824.0,523.0,90,,,,0.17664581471551982,0.09949359547214776,0.010425975573428656
2020-05-27,3176,180394,760.0,476.0,79,,,,0.17821158690176322,0.10390428211586902,0.009130982367758186
2020-05-28,3286,180923,733.0,446.0,81,,,,0.17407181984175288,0.0967741935483871,0.010651247717589775
2020-05-29,3206,181368,734.0,425.0,73,,,,0.1712414223331254,0.09856519026824703,0.009669369931378666
2020-05-30,3243,181742,723.0,424.0,66,,,,0.16157878507554732,0.08849830403946962,0.010175763182238668
2020-05-31,3204,181921,705.0,407.0,64,,,,0.15293383270911362,0.08645443196004994,0.010611735330836454
2020-06-01,2929,182058,704.0,395.0,56,,,,0.15500170706725844,0.09388869921474906,0.015022191874359849
2020-06-02,2616,182362,699.0,385.0,49,,,,0.17392966360856268,0.09977064220183486,0.015672782874617736
2020-06-03,2464,182858,640.0,363.0,48,,,,0.18019480519480519,0.10673701298701299,0.0174512987012987
2020-06-04,2463,183386,606.0,342.0,46,,,,0.17864393016646365,0.10515631343889566,0.01664636622005684
2020-06-05,2455,183823,593.0,339.0,43,,,,0.1775967413441955,0.10427698574338086,0.017922606924643585
2020-06-06,2366,184108,566.0,334.0,44,,,,0.17878275570583263,0.10566356720202874,0.017328825021132713
2020-06-07,2351,184272,572.0,330.0,45,,,,0.17439387494683115,0.10165886856656742,0.016163334751169715
2020-06-08,2509,184567,549.0,318.0,43,,,,0.1590275009964129,0.09007572738142686,0.013551215623754484
2020-06-09,2630,184992,524.0,316.0,36,,,,0.14334600760456273,0.08403041825095058,0.011026615969581748
2020-06-10,2652,185510,490.0,287.0,35,,,,0.13687782805429866,0.0773001508295626,0.011689291101055807
2020-06-11,2405,185791,454.0,277.0,29,,,,0.1471933471933472,0.08773388773388774,0.012058212058212059
2020-06-12,2320,186143,455.0,275.0,35,,,,0.15862068965517243,0.08663793103448277,0.01163793103448276
2020-06-13,2334,186442,444.0,261.0,31,,,,0.15509854327335046,0.08226221079691516,0.010282776349614395
2020-06-14,2342,186614,440.0,263.0,33,,,,0.1520068317677199,0.08283518360375747,0.01152860802732707
2020-06-15,2306,186873,436.0,259.0,34,,,,0.15654813529921943,0.08542931483087597,0.009106678230702514
2020-06-16,2399,187391,423.0,256.0,44,,,,0.15131304710295956,0.0779491454772822,0.010004168403501459
2020-06-17,2743,188253,410.0,250.0,41,,,,0.12577469923441487,0.06926722566532993,0.008384979948960992
2020-06-18,3225,189016,399.0,239.0,43,,,,0.1048062015503876,0.05674418604651163,0.006821705426356589
2020-06-19,3870,190013,377.0,226.0,41,,,,0.08578811369509044,0.044444444444444446,0.005684754521963824
2020-06-20,4140,190582,363.0,221.0,44,,,,0.08091787439613526,0.04057971014492753,0.006280193236714976
2020-06-21,4190,190804,354.0,205.0,41,,,,0.0782816229116945,0.03818615751789976,0.006682577565632458
2020-06-22,4374,191247,368.0,211.0,38,,,,0.0747599451303155,0.03680841335162323,0.007087334247828075
2020-06-23,4397,191788,362.0,201.0,34,,,,0.07277689333636571,0.03616101887650671,0.00727768933363657
2020-06-24,4041,192294,356.0,192.0,29,,,,0.07993071022024252,0.03711952487008166,0.008166295471417966
2020-06-25,3843,192859,361.0,194.0,31,,,,0.07832422586520947,0.038511579495186056,0.0078064012490242
2020-06-26,3420,193433,363.0,197.0,29,,,,0.0912280701754386,0.042105263157894736,0.008187134502923977
2020-06-27,3176,193758,345.0,187.0,27,,,,0.09351385390428212,0.04439546599496222,0.007871536523929471
2020-06-28,3155,193959,338.0,190.0,24,,,,0.09223454833597464,0.042789223454833596,0.007606973058637084
2020-06-29,3127,194374,332.0,183.0,27,,,,0.08890310201471059,0.042852574352414456,0.007035497281739686
2020-06-30,3044,194832,335.0,172.0,21,,,,0.09165571616294349,0.042378449408672796,0.007227332457293035
2020-07-01,3020,195314,328.0,168.0,24,,,,0.08410596026490066,0.04205298013245033,0.007947019867549669
2020-07-02,2927,195786,327.0,160.0,23,,,,0.08711991800478305,0.044414075845575676,0.009224461906388794
2020-07-03,2779,196212,320.0,161.0,22,,,,0.09499820079165168,0.04498020870816841,0.009715725080964376
2020-07-04,2746,196504,323.0,159.0,22,,,,0.09541150764748725,0.043699927166788055,0.010924981791697014
2020-07-05,2687,196646,301.0,150.0,26,,,,0.09192407889839971,0.04503163379233346,0.010792705619650168
2020-07-06,2596,196970,312.0,148.0,28,,,,0.09784283513097072,0.045454545454545456,0.011941448382126348
2020-07-07,2529,197361,297.0,144.0,31,,,,0.09845788849347568,0.04586793198892843,0.013444049031237644
2020-07-08,2497,197811,291.0,141.0,32,,,,0.09891870244293152,0.048057669203043656,0.012014417300760914
2020-07-09,2450,198236,278.0,135.0,33,,,,0.1036734693877551,0.04979591836734694,0.013877551020408163
2020-07-10,2449,198661,279.0,134.0,30,,,,0.10126582278481013,0.05022458146182115,0.015108207431604737
2020-07-11,2433,198937,254.0,129.0,28,,,,0.10480887792848335,0.052609946568023015,0.013563501849568433
2020-07-12,2422,199068,255.0,127.0,25,,,,0.10363336085879439,0.05284888521882741,0.01486374896779521
2020-07-13,2424,199394,264.0,130.0,24,,,,0.09900990099009901,0.04950495049504951,0.015264026402640265
2020-07-14,2498,199859,262.0,125.0,22,,,,0.09607686148919135,0.051641313050440354,0.01321056845476381
2020-07-15,2588,200399,247.0,120.0,22,,,,0.0973724884080371,0.0517774343122102,0.013523956723338485
2020-07-16,2716,200952,254.0,121.0,24,,,,0.10014727540500737,0.04970544918998527,0.013991163475699559
2020-07-17,2813,201474,249.0,118.0,27,,,,0.09349448986846783,0.04550302168503377,0.012797724848915748
2020-07-18,2977,201914,247.0,116.0,27,,,,0.08800806180718844,0.044339939536446084,0.012428619415518979
2020-07-19,3025,202093,254.0,120.0,30,,,,0.08793388429752066,0.044297520661157025,0.012892561983471074
2020-07-20,3152,202546,248.0,122.0,29,,,,0.08534263959390863,0.0399746192893401,0.012690355329949238
2020-07-21,3209,203068,255.0,123.0,31,,,,0.0832034901838579,0.03832969772514802,0.011841695232159551
2020-07-22,3368,203767,251.0,128.0,34,,,,0.07779097387173396,0.03889548693586698,0.01157957244655582
2020-07-23,3509,204461,240.0,128.0,30,,,,0.07808492447990881,0.03733257338273012,0.00883442576232545
2020-07-24,3792,205266,240.0,120.0,34,,,,0.07199367088607594,0.03560126582278481,0.008438818565400843
2020-07-25,3894,205808,252.0,129.0,37,,,,0.06831022085259374,0.036466358500256806,0.00847457627118644
2020-07-26,3926,206019,272.0,134.0,33,,,,0.06265919510952624,0.033622007131940905,0.006622516556291391
2020-07-27,4000,206546,263.0,135.0,36,,,,0.06025,0.03375,0.0055
2020-07-28,4233,207301,262.0,128.0,37,,,,0.05457122608079376,0.0321285140562249,0.006850933144342074
2020-07-29,4444,208211,266.0,132.0,33,,,,0.05310531053105311,0.030828082808280827,0.0056255625562556255
2020-07-30,4611,209072,269.0,134.0,35,,,,0.05248319236608111,0.02884406853177185,0.005638690088917805
2020-07-31,4720,209986,267.0,126.0,38,,,,0.04957627118644068,0.029661016949152543,0.005932203389830509
2020-08-01,4740,210548,262.0,123.0,36,,,,0.05021097046413502,0.029324894514767934,0.006540084388185654
2020-08-02,4834,210853,274.0,131.0,37,,,,0.046752172114191144,0.02916839056681837,0.0076541166735622675
2020-08-03,5105,211651,273.0,131.0,39,,,,0.04485798237022527,0.02683643486777669,0.00881488736532811
2020-08-04,5297,212598,266.0,135.0,40,,,,0.04417594865017935,0.02586369643194261,0.006796299792335284
2020-08-05,5497,213708,246.0,142.0,38,,,,0.0422048390030926,0.02492268510096416,0.00745861378933964
2020-08-06,5803,214875,241.0,132.0,39,,,,0.03946234706186455,0.023263829053937618,0.006548337067034293
2020-08-07,5895,215881,231.0,135.0,31,,,,0.03918575063613232,0.02307039864291773,0.0061068702290076335
2020-08-08,6044,216592,236.0,136.0,32,,,,0.03689609530112508,0.023659827928524155,0.005129053606882859
2020-08-09,6059,216912,242.0,137.0,33,,,,0.03829014688892556,0.022776035649447104,0.004621224624525499
2020-08-10,6364,218015,234.0,133.0,26,,,,0.036612193588937775,0.02309868007542426,0.0031426775612822125
2020-08-11,6612,219210,238.0,140.0,22,,,,0.036297640653357534,0.02117362371445856,0.003176043557168784
2020-08-12,7043,220751,226.0,139.0,29,,,,0.033224478205310236,0.01959392304415732,0.0021297742439301435
2020-08-13,7368,222243,229.0,141.0,25,,,,0.033523344191096635,0.017779587404994572,0.002035830618892508
2020-08-14,7737,223618,234.0,137.0,26,,,,0.03192451854724053,0.017190125371591057,0.0019387359441644049
2020-08-15,7782,224374,232.0,137.0,28,,,,0.02916987920842971,0.017090722179388333,0.002313030069390902
2020-08-16,7954,224866,229.0,137.0,31,,,,0.02879054563741514,0.01760120693990445,0.0021372894141312546
2020-08-17,8398,226413,231.0,135.0,37,,,,0.028935460824005714,0.016670635865682307,0.0021433674684448677
2020-08-18,8736,227946,223.0,136.0,45,,,,0.027243589743589744,0.015338827838827838,0.002174908424908425
2020-08-19,8949,229700,232.0,143.0,36,,,,0.027153871940998994,0.01463850709576489,0.0027936082243826127
2020-08-20,9078,231321,233.0,138.0,41,,,,0.027208636263494162,0.014100022031284423,0.0031945362414628775
2020-08-21,9359,232977,240.0,147.0,38,,,,0.02639170851586708,0.014104070947750827,0.0037397157816005983
2020-08-22,9521,233895,234.0,140.0,36,,,,0.02478731225711585,0.013128873017540175,0.00378111542905157
2020-08-23,9595,234461,247.0,138.0,31,,,,0.023970818134445022,0.013340281396560709,0.0039603960396039604
2020-08-24,9475,235888,247.0,131.0,28,,,,0.023641160949868074,0.013720316622691292,0.005699208443271768
2020-08-25,9427,237373,227.0,133.0,20,,,,0.023973692585127826,0.013471942293412538,0.006364697146494113
2020-08-26,9288,238988,229.0,133.0,21,,,,0.02422480620155039,0.013673557278208442,0.006352282515073213
2020-08-27,9207,240528,243.0,140.0,15,,,,0.024003475616378844,0.01466275659824047,0.006951232757684371
2020-08-28,8942,241919,238.0,140.0,15,,,,0.025833146946991726,0.014649966450458511,0.007157235517781257
2020-08-29,8857,242752,243.0,134.0,15,,,,0.02619397087049791,0.015129276278649656,0.007677543186180422
2020-08-30,8827,243288,247.0,131.0,18,,,,0.025943129035912543,0.014727540500736377,0.0075903477965333635
2020-08-31,8583,244471,247.0,128.0,17,,,,0.02737970406617733,0.013981125480601188,0.007456600256320634
2020-09-01,8415,245788,236.0,132.0,18,,,,0.026262626262626262,0.014141414141414142,0.008318478906714201
2020-09-02,8213,247201,230.0,125.0,19,,,,0.02849141604772921,0.015098015341531717,0.008888347741385609
2020-09-03,8191,248719,224.0,128.0,25,,,,0.028934196068856062,0.015260651935050665,0.009278476376510804
2020-09-04,8294,250213,226.0,130.0,29,,,,0.028695442488545938,0.01567398119122257,0.009645526886906198
2020-09-05,8566,251318,225.0,127.0,35,,,,0.027667522764417463,0.01505953770721457,0.00957272939528368
2020-09-06,8612,251900,221.0,127.0,36,,,,0.02717138875986995,0.015675801207617277,0.01103111936832327
2020-09-07,8838,253309,231.0,135.0,38,,,,0.026929169495360943,0.015501244625480878,0.010635890472957682
2020-09-08,8898,254686,232.0,131.0,54,,,,0.027646662171274445,0.01629579680827152,0.010114632501685773
2020-09-09,9231,256432,229.0,134.0,60,,,,0.027949301267468314,0.015707940634817463,0.010724731881702957
2020-09-10,9304,258023,235.0,130.0,59,,,,0.029019776440240758,0.015692175408426483,0.010640584694754944
2020-09-11,9461,259674,221.0,120.0,64,,,,0.028326815347214884,0.016065954973047247,0.011943769157594335
2020-09-12,9580,260898,234.0,119.0,64,,,,0.029123173277661795,0.016701461377870562,0.011482254697286013
2020-09-13,9760,261660,237.0,124.0,68,,,,0.03012295081967213,0.01721311475409836,0.011372950819672132
2020-09-14,9836,263145,238.0,125.0,67,,,,0.03029686864579097,0.016775111834078895,0.011285075233834893
2020-09-15,10463,265149,237.0,130.0,64,,,,0.029150339290834368,0.016725604511134473,0.011086686418809137
2020-09-16,10910,267342,234.0,129.0,70,,,,0.02905591200733272,0.016681943171402383,0.011365719523373053
2020-09-17,11673,269696,238.0,135.0,73,,,,0.028270367514777694,0.01653388160712756,0.0114794825666067
2020-09-18,12191,271865,246.0,137.0,76,,,,0.029365925682880812,0.016159461898121567,0.009843327044541056
2020-09-19,12360,273258,258.0,145.0,80,,,,0.02872168284789644,0.015938511326860843,0.009870550161812298
2020-09-20,12289,273949,270.0,145.0,82,,,,0.02905037024981691,0.01586784929611848,0.011148181300349906
2020-09-21,12460,275605,268.0,146.0,95,,,,0.029213483146067417,0.016131621187800965,0.011958266452648475
2020-09-22,12269,277418,279.0,152.0,94,,,,0.030564838210123076,0.01679028445676094,0.013693047518135137
2020-09-23,12286,279628,294.0,160.0,90,,,,0.03296434966628683,0.01741819957675403,0.014976395897769819
2020-09-24,12325,282021,298.0,168.0,99,,,,0.034563894523326574,0.017200811359026368,0.01647058823529412
2020-09-25,12487,284352,305.0,165.0,99,,,,0.03595739569151918,0.017858572915832465,0.01833907263554096
2020-09-26,12880,286138,317.0,175.0,113,,,,0.035326086956521736,0.01832298136645963,0.019021739130434784
2020-09-27,13062,287011,330.0,182.0,110,,,,0.0362119124177002,0.018527024957893126,0.02067064768029398
2020-09-28,13236,288841,358.0,193.0,111,,,,0.03709579933514657,0.01926563916591115,0.022589906316107584
2020-09-29,13589,291007,355.0,197.0,111,,,,0.037751122231216426,0.020678489955110752,0.024063580837442047
2020-09-30,14110,293738,357.0,197.0,116,,,,0.03798724309000709,0.019773210489014884,0.02593905031892275
2020-10-01,14642,296663,364.0,195.0,124,,,,0.037563174429722714,0.019806037426581068,0.02813823248190138
2020-10-02,15233,299585,375.0,201.0,134,,,,0.03912558261668746,0.02120396507582223,0.02849077660342677
2020-10-03,15643,301781,405.0,206.0,120,,,,0.039826120309403565,0.020903918685674105,0.029597903215495748
2020-10-04,15925,302936,426.0,214.0,122,,,,0.03811616954474097,0.020910518053375196,0.030832025117739404
2020-10-05,16505,305346,449.0,212.0,137,,,,0.039987882459860645,0.020902756740381702,0.034171463192971825
2020-10-06,17926,308933,455.0,223.0,149,,,,0.03882628584179404,0.019468927814347874,0.03598125627580051
2020-10-07,19682,313420,473.0,236.0,168,,,,0.037496189411645155,0.018189208413779086,0.039122040443044404
2020-10-08,21427,318090,491.0,242.0,184,,,,0.03616931908339945,0.01838801512110888,0.041023008353945956
2020-10-09,23564,323149,513.0,255.0,203,,,,0.03641147513155661,0.017569173315226616,0.03997623493464607
2020-10-10,24997,326778,536.0,281.0,229,,,,0.03536424370924511,0.017162059447133657,0.040564867784134095
2020-10-11,26113,329049,550.0,279.0,245,,,,0.036342051851568184,0.01773063225213495,0.04472867920193007
2020-10-12,27892,333238,596.0,290.0,270,,,,0.037250824609206944,0.017280940771547397,0.04574788469812133
2020-10-13,29674,338607,623.0,323.0,299,,,,0.038080474489452044,0.018096650266226325,0.0465390577610029
2020-10-14,32435,345855,607.0,327.0,327,,,,0.03730537999075073,0.017974410359179897,0.044519808848466166
2020-10-15,35676,353766,660.0,333.0,366,,,,0.03657921291624622,0.01754681018051351,0.042129162462159433
2020-10-16,38591,361740,696.0,345.0,412,,,,0.03552641807675365,0.018009380425487807,0.040812624705242155
2020-10-17,40654,367432,738.0,349.0,434,,,,0.03642937964283957,0.018989521326314755,0.039823879569046094
2020-10-18,42062,371111,775.0,358.0,463,,,,0.03770624316485188,0.019851647567875993,0.03937045314060197
2020-10-19,44359,377597,858.0,394.0,491,,,,0.03868437070267589,0.0208976757816903,0.03940575756892626
2020-10-20,48432,387039,884.0,414.0,564,,,,0.0383217707300958,0.02093657086223984,0.03743392798149983
2020-10-21,53596,399451,949.0,429.0,645,,,,0.036663183819688035,0.020467945369057394,0.03511456078811852
2020-10-22,59617,413383,1039.0,463.0,770,,,,0.03490615093010383,0.0197762383212842,0.03148430816713354
2020-10-23,65680,427420,1130.0,482.0,879,,,,0.034470158343483555,0.01932095006090134,0.02892813641900122
2020-10-24,71090,438522,1210.0,537.0,942,,,,0.033802222534815025,0.019116612744408495,0.026628217752145168
2020-10-25,74868,445979,1305.0,583.0,1014,,,,0.03435379601431853,0.019126996847785436,0.025818774376235507
2020-10-26,80406,458003,1371.0,626.0,1168,,,,0.0333308459567694,0.018095664502649055,0.024227047732756263
2020-10-27,86910,473949,1481.0,695.0,1276,,,,0.03198711310551145,0.017800023012311587,0.023622137843746404
2020-10-28,93745,493196,1586.0,772.0,1381,,,,0.030572297189183424,0.01723825270681103,0.02287055309616513
2020-10-29,99667,513050,1716.0,835.0,1444,,,,0.029417961812836745,0.017086899374918477,0.02315711318691242
2020-10-30,105043,532463,1856.0,927.0,1503,,,,0.028883409651285663,0.01665032415296593,0.02342850070923336
2020-10-31,107946,546468,1965.0,1014.0,1575,,,,0.028532784910974007,0.01666574027754618,0.02334500583625146
2020-11-01,111015,556994,2081.0,1097.0,1619,,,,0.02833851281358375,0.016439219925235327,0.02386164031887583
2020-11-02,114245,572248,2264.0,1179.0,1656,,,,0.028053744146352137,0.0163858374545932,0.024622521773381766
2020-11-03,117639,591588,2403.0,1269.0,1748,,,,0.02821343262013448,0.0160405987810165,0.02488120436249883
2020-11-04,119594,612790,2572.0,1359.0,1813,,,,0.027977992206966906,0.016171379835108784,0.025603291135006773
2020-11-05,122019,635069,2680.0,1432.0,1882,,,,0.027946467353444956,0.016267958268794205,0.026004146895155674
2020-11-06,124190,656653,2780.0,1455.0,1877,,,,0.027868588453176583,0.01628955632498591,0.025316047990981562
2020-11-07,126112,672580,2866.0,1547.0,1900,,,,0.028062357269728496,0.016136450139558486,0.025413917787363613
2020-11-08,125731,682725,2932.0,1616.0,1893,,,,0.02847348704774479,0.016662557364532215,0.025689766246987617
2020-11-09,126457,698705,3034.0,1703.0,1933,,,,0.02861051582751449,0.016717144958365293,0.025526463540966493
2020-11-10,126736,718324,3080.0,1749.0,1948,,,,0.028705340234818837,0.016656672137356394,0.025904241888650422
2020-11-11,128244,741034,3146.0,1799.0,2053,,,,0.028492561055487975,0.0167181310626618,0.02630922304357319
2020-11-12,129460,764529,3205.0,1825.0,2144,,,,0.028811988258921676,0.016792831762706628,0.026811370307430867
2020-11-13,129227,785880,3319.0,1872.0,2308,,,,0.02911156337297933,0.016931446214800312,0.027324011236042004
2020-11-14,129095,801675,3346.0,1887.0,2461,,,,0.029334985863124056,0.01727410046864712,0.027692784383593478
2020-11-15,127795,810520,3410.0,1934.0,2520,,,,0.029719472592824446,0.018028874369106773,0.0284752924605814
2020-11-16,126508,825213,3461.0,1985.0,2649,,,,0.030385430170424006,0.01828342871597053,0.029942770417681095
2020-11-17,127240,845564,3539.0,2023.0,2813,,,,0.03046211883055643,0.018209682489783087,0.03091795033008488
2020-11-18,128220,869254,3580.0,2035.0,2927,,,,0.030502261737638432,0.018015910154422086,0.03220246451411636
2020-11-19,128475,893004,3618.0,2095.0,3062,,,,0.0305273399494065,0.018159174936758123,0.03357073360575988
2020-11-20,129410,915290,3638.0,2114.0,3173,,,,0.03053087087551194,0.018306158720346185,0.034185920717100686
2020-11-21,128394,930069,3654.0,2111.0,3144,,,,0.030749100425253518,0.018412075330622925,0.03470567160459211
2020-11-22,128380,938900,3730.0,2144.0,3205,,,,0.03103287116373267,0.018632185698706963,0.03592459884717246
2020-11-23,128761,953974,3762.0,2174.0,3230,,,,0.03108860602200977,0.018631417898276652,0.03740262967824108
2020-11-24,127814,973378,3787.0,2188.0,3228,,,,0.03155366391788067,0.01901200181513762,0.03857167446445616
2020-11-25,126178,995432,3798.0,2230.0,3283,,,,0.032303571145524575,0.019559669673001632,0.040862907955428046
2020-11-26,125191,1018195,3844.0,2304.0,3374,,,,0.033005567492870896,0.02019314487463156,0.04251903092075309
2020-11-27,123042,1038332,3876.0,2313.0,3471,,,,0.03419970416605712,0.020724630613936704,0.04532598624859804
2020-11-28,123204,1053273,3911.0,2317.0,3531,,,,0.03475536508554917,0.020567514041751892,0.04654069673062563
2020-11-29,123159,1062059,3922.0,2310.0,3575,,,,0.034938575337571755,0.020436996078240323,0.047645726256302826
2020-11-30,121375,1075349,3951.0,2333.0,3639,,,,0.03594644696189495,0.021033985581874356,0.04962306900102987
2020-12-01,121190,1094568,3948.0,2369.0,3788,,,,0.03676871028962786,0.021107352091756744,0.05149764832081855
2020-12-02,122340,1117772,3984.0,2364.0,3934,,,,0.036905345757724375,0.02140755272192251,0.0517165277096616
2020-12-03,123999,1142194,4003.0,2392.0,4129,,,,0.036935781740175325,0.021645335849482656,0.05156493197525786
2020-12-04,126115,1164447,4033.0,2399.0,4313,,,,0.037291361059350596,0.02136145581413789,0.0507314752408516
2020-12-05,126900,1180173,4076.0,2430.0,4424,,,,0.03752561071710008,0.02185185185185185,0.050630417651694244
2020-12-06,128352,1190411,4132.0,2468.0,4456,,,,0.03786462228870606,0.021713724756918473,0.05079001495886313
2020-12-07,131514,1206863,4208.0,2528.0,4612,,,,0.03711391943063096,0.019921833416974618,0.05096795778396216
2020-12-08,135083,1229651,4282.0,2550.0,4816,,,,0.036503483043758285,0.019351065641124345,0.05096126085443764
2020-12-09,139527,1257299,4303.0,2534.0,4930,,,,0.03560601173966329,0.019014240971281543,0.046105771642764484
2020-12-10,144143,1286337,4363.0,2517.0,5156,,,,0.035083215973026785,0.018752211345677557,0.040917699784242034
2020-12-11,149144,1313591,4456.0,2553.0,5323,,,,0.03484551842514617,0.01839832644960575,0.03823821273400204
2020-12-12,154027,1334200,4515.0,2558.0,5577,,,,0.03410441026573263,0.018360417329429255,0.03692209807371435
2020-12-13,156294,1346705,4580.0,2619.0,5734,,,,0.03376329225690046,0.018254059656800645,0.036188209400232894
2020-12-14,158901,1365764,4703.0,2684.0,5868,,,,0.03392678460173316,0.018086733249004096,0.035890271300998734
2020-12-15,163045,1392696,4762.0,2694.0,6023,,,,0.033303689165567786,0.018068631359440646,0.03519887147719954
2020-12-16,166761,1424060,4860.0,2773.0,6241,,,,0.03349704067497796,0.01793584830985662,0.03480430076576658
2020-12-17,169695,1456032,4881.0,2787.0,6327,,,,0.0330769910722178,0.017985208756887357,0.03364271192433484
2020-12-18,172212,1485803,4931.0,2620.0,6394,,,,0.03282001254267995,0.018001068450514482,0.03319164750423896
2020-12-19,173306,1507506,4968.0,2614.0,6398,,,,0.03292442269742536,0.017852815251635835,0.03278593932120065
2020-12-20,174704,1521409,5057.0,2653.0,6425,,,,0.03265523399578716,0.01797325762432457,0.03185387856030772
2020-12-21,175941,1541705,5197.0,2703.0,6519,,,,0.032391540345911414,0.01786962674987638,0.030436339454703566
2020-12-22,177998,1570694,5253.0,2744.0,6703,,,,0.031848672456993896,0.017753008460769222,0.028005932650928662
2020-12-23,180617,1604677,5277.0,2828.0,6884,,,,0.032045709983002706,0.017739193985062313,0.02900059241378165
2020-12-24,169807,1625839,5391.0,2853.0,6433,,,,0.03429187253764568,0.019127597802210745,0.033867861748926725
2020-12-25,153205,1639008,5430.0,2874.0,5898,,,,0.037923044287066346,0.02099800920335498,0.03763584739401456
2020-12-26,143042,1650548,5586.0,2946.0,5703,,,,0.040072146642244934,0.022070440849540695,0.03982047230883237
2020-12-27,138947,1660356,5613.0,2991.0,5687,21566.0,0.0,,0.04052624381958589,0.022584150791308915,0.03964101419965886
2020-12-28,134385,1676090,5652.0,3052.0,5656,41962.0,0.0,,0.04132901737545113,0.023142463816646204,0.03991516910369461
2020-12-29,132979,1703673,5706.0,3100.0,5703,,,,0.041728393204942135,0.023372111386008317,0.040720715300912175
2020-12-30,130058,1734735,5705.0,3094.0,5739,131626.0,0.0,,0.0421427363176429,0.023758630764735732,0.040974026972581463
2020-12-31,128487,1754326,5699.0,3140.0,5804,165575.0,0.0,,0.041926420571730995,0.02370667849665725,0.04062667818534171
2021-01-01,125584,1764592,5669.0,3144.0,5709,188553.0,0.0,,0.042656707860874,0.024230793731685567,0.04107211109695503
2021-01-02,124047,1774595,5788.0,3160.0,5716,238809.0,0.0,,0.04270961812861254,0.024264996332035438,0.04076680612993462
2021-01-03,123061,1783417,5823.0,3204.0,5682,265986.0,0.0,,0.04265364331510389,0.02423188500012189,0.04068713889859501
2021-01-04,121616,1797706,5810.0,3248.0,5565,316962.0,0.0,,0.04266708327851598,0.02446224181028812,0.040085186159715826
2021-01-05,121451,1825124,5732.0,3217.0,5355,367331.0,0.0,,0.04232159471721106,0.02391087763789512,0.038517591456636836
2021-01-06,118364,1853099,5631.0,3157.0,4985,417060.0,0.0,,0.04291845493562232,0.02427258287992971,0.037536751039167315
2021-01-07,124881,1879207,5554.0,3138.0,5238,476959.0,0.0,,0.04040646695654263,0.023286168432347595,0.03408044458324325
2021-01-08,139142,1903734,5549.0,3110.0,5751,532878.0,0.0,,0.03648071754035446,0.020870765117649594,0.029926262379439707
2021-01-09,145798,1920393,5481.0,3108.0,5766,,,,0.034465493353818294,0.019355546715318455,0.02780559404107052
2021-01-10,145442,1928859,5387.0,3090.0,5696,613347.0,0.0,,0.033724783762599526,0.01903164147907757,0.027124214463497477
2021-01-11,144632,1942338,5357.0,3046.0,5508,688782.0,0.0,,0.03355412356878146,0.01884092040488965,0.026010841307594446
2021-01-12,139797,1964921,5298.0,3043.0,5364,758093.0,0.0,,0.03456440410023105,0.018991823858881093,0.025851770781919498
2021-01-13,135920,1989019,5249.0,3010.0,5415,842455.0,0.0,,0.03479252501471454,0.01959240729841083,0.024882283696291935
2021-01-14,130206,2009413,5189.0,2982.0,5329,961682.0,0.0,,0.036096646851911586,0.020490607191680874,0.024776123988141868
2021-01-15,123973,2027707,5140.0,2975.0,5220,1048160.0,0.0,,0.03785501681817815,0.020859380671597847,0.024900583191501374
2021-01-16,120752,2041145,5080.0,2904.0,5158,,,,0.038458990327282366,0.02107625546574798,0.025366039485888434
2021-01-17,118879,2047738,5046.0,2873.0,5057,1139297.0,6581.0,,0.03852656903237746,0.021282144028802397,0.02483197200514809
2021-01-18,114556,2056894,5076.0,2908.0,5007,1195543.0,24741.0,,0.03941303816474039,0.02141310799958099,0.024154125493208563
2021-01-19,110430,2075351,5025.0,2904.0,4875,1254760.0,42670.0,,0.040306076247396544,0.022068278547496153,0.023462827130308794
2021-01-20,105819,2094838,4905.0,2822.0,4678,1324091.0,77602.0,,0.041901737873160774,0.02254793562592729,0.024135552216520664
2021-01-21,102230,2111643,4853.0,2768.0,4443,1386464.0,115175.0,,0.043392350582020935,0.02346669275163846,0.02338843783625159
